event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1998-10-15,1998,Strategic developments,Change to group/activity,Oromia,East Hararge,Kombolcha,Kombolcha,9.4333,42.1186,0,Movement of forces: OLF said to be active in eastern region of Ethiopia,10
1998-10-21,1998,Violence against civilians,Attack,Oromia,East Hararge,Babile,Babile,9.2167,42.3333,13,"Unknown armed group attacks passenger buses, kills civilians",10
1998-10-22,1998,Violence against civilians,Attack,Oromia,Jimma,Omo Nada,Omo,7.6333,37.25,0,Security forces attack peasants after peasants protest language of instruction in schools,10
1998-10-22,1998,Violence against civilians,Attack,South Ethiopia Region,Gofa,Gezei Gofa,Kencho,6.35,36.85,0,Security forces attack peasants after peasants protest language of instruction in schools,10
1998-10-23,1998,Violence against civilians,Attack,Oromia,Jimma,Omo Nada,Omo,7.6333,37.25,0,Security forces attack peasants after peasants protest language of instruction in schools,10
1998-10-23,1998,Violence against civilians,Attack,South Ethiopia Region,Gofa,Gezei Gofa,Kencho,6.35,36.85,0,Security forces attack peasants after peasants protest language of instruction in schools,10
1998-10-24,1998,Violence against civilians,Attack,Oromia,Jimma,Omo Nada,Omo,7.6333,37.25,0,Security forces attack peasants after peasants protest language of instruction in schools,10
1998-10-24,1998,Violence against civilians,Attack,South Ethiopia Region,Gofa,Gezei Gofa,Kencho,6.35,36.85,0,Security forces attack peasants after peasants protest language of instruction in schools,10
1998-10-24,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Ethiopian military attacks Eritrean military positions,10
1998-10-24,1998,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,2,Eritrean civilians killed in Ethiopian shelling,10
1998-11-04,1998,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,1,Ethiopia accuses Eritrea of shelling civilian targets,11
1998-11-04,1998,Battles,Armed clash,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,0,Eritrean military attacks Ethiopian military positions,11
1998-11-11,1998,Battles,Armed clash,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,0,Exchange of fire between Ethiopian and Eritrean troops,11
1998-11-13,1998,Strategic developments,Agreement,Somali,Jarar,Degahabur town,Degehabur,8.2206,43.5572,0,Agreement: Reports that ONLF and AIAI: Al-Itihad Al-Islamia militia members surrender to Ethiopian authorities. They had previously been active in these regions,11
1998-11-15,1998,Violence against civilians,Attack,Sidama,Sidama,Darara,Bilate,6.7833,38.1,3,Three Eritreans who had been detained died under suspicious circumstances in Ethiopian detention camp,11
